"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dx_e.pdf","http://media.digikey.com/Photos/Elna%20America%20Photos/DX-5R5V105U.jpg","604-1033-ND","DX-5R5V105U","Elna America","CAP 1F -20% +80% 5.5V T/H",2548,0,"3.41000",0,1,"Bulk","DX","1F","-20%, +80%","5.5V","30 Ohm","1000 Hrs @ 70°C","-","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.748"" Dia (19.00mm)","0.827"" (21.00mm)","-25°C ~ 70°C"
"http://www.nec-tokin.com/english/product/pdf_dl/supercapacitors.pdf","http://media.digikey.com/Photos/Kemet%20Photos/FYL0H473ZF.JPG","399-10792-ND","FYL0H473ZF","Kemet","CAP 47MF -20% +80% 5.5V T/H",1361,0,"2.67000",0,1,"Bulk","FYL","47mF","-20%, +80%","5.5V","200 Ohm @ 1kHz","-","-","Through Hole","Radial, Can","0.200"" (5.08mm)","0.472"" Dia (12.00mm)","0.217"" (5.50mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dh_e.pdf","http://media.digikey.com/Photos/Elna%20America%20Photos/DH13%20SERIES.JPG","604-1010-ND","DH-5R5D224T","Elna America","CAP 220MF -20% +80% 5.5V T/H",4001,0,"2.53000",0,1,"Bulk","DH","220mF","-20%, +80%","5.5V","120 Ohm","1000 Hrs @ 85°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.374"" (9.50mm)","-25°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dbn_e.pdf","http://media.digikey.com/photos/Elna%20America%20Photos/ELNA%20AMERICA%20INC-SERIES-DB_DH-5R5D%2013.5D.jpg","604-1005-ND","DB-5R5D334T","Elna America","CAP 330MF -20% +80% 5.5V T/H",1231,0,"2.24000",0,1,"Bulk","DB","330mF","-20%, +80%","5.5V","75 Ohm @ 1kHz","1000 Hrs @ 70°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.295"" (7.50mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dbn_e.pdf","http://media.digikey.com/photos/Elna%20America%20Photos/ELNA%20AMERICA%20INC-SERIES-DB_DH-5R5D%2013.5D.jpg","604-1004-ND","DB-5R5D224T","Elna America","CAP 220MF -20% +80% 5.5V T/H",2757,0,"2.24000",0,1,"Bulk","DB","220mF","-20%, +80%","5.5V","75 Ohm @ 1kHz","1000 Hrs @ 70°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.295"" (7.50mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dbn_e.pdf","http://media.digikey.com/photos/Elna%20America%20Photos/ELNA%20AMERICA%20INC-SERIES-DB_DH-5R5D%2013.5D.jpg","604-1000-ND","DB-5R5D473T","Elna America","CAP 47MF -20% +80% 5.5V T/H",3836,0,"2.24000",0,1,"Bulk","DB","47mF","-20%, +80%","5.5V","120 Ohm @ 1kHz","1000 Hrs @ 70°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.295"" (7.50mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dxj_e.pdf","http://media.digikey.com/Photos/Elna%20America%20Photos/DXJV%20SERIES.JPG","604-1090-ND","DXJ-5R5V334U","Elna America","CAP 330MF -20% +80% 5.5V T/H",4232,0,"2.08000",0,1,"Bulk","DXJ","330mF","-20%, +80%","5.5V","150 Ohm","1000 Hrs @ 85°C","-","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.531"" (13.50mm)","-10°C ~ 85°C"
"http://www.avx.com/docs/Catalogs/bestcap.pdf","http://media.digikey.com/photos/AVX%20Photos/BZ01CA223ZSB.jpg","478-6268-ND","BZ015B603ZSB","AVX Corporation","CAP 60MF -20% +80% 5.5V SMD",198,0,"19.46000",0,1,"Bulk","BestCap® BZ","60mF","-20%, +80%","5.5V","80 mOhm","1000 Hrs @ 70°C","-","Surface Mount","BZ01, 3 Lead","-","1.102"" L x 0.669"" W (28.00mm x 17.00mm)","0.232"" (5.90mm)","-20°C ~ 70°C"
"http://www.avx.com/docs/Catalogs/bestcap.pdf","http://media.digikey.com/photos/AVX%20Photos/BZ055A333ZSB.jpg","478-6278-ND","BZ055A683ZSB","AVX Corporation","CAP 68MF -20% +80% 5.5V SMD",481,0,"16.18000",0,1,"Bulk","BestCap® BZ","68mF","-20%, +80%","5.5V","125 mOhm","1000 Hrs @ 70°C","-","Surface Mount","BZ05, 3 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","0.240"" (6.10mm)","-20°C ~ 70°C"
"http://www.avx.com/docs/catalogs/bestcap.pdf","http://media.digikey.com/photos/AVX%20Photos/BZ01CA223ZSB.jpg","478-3522-ND","BZ015A104ZSB","AVX Corporation","CAP 100MF -20% +80% 5.5V SMD",1190,0,"11.00000",0,1,"Tray","BestCap® BZ","100mF","-20%, +80%","5.5V","80 mOhm","1000 Hrs @ 70°C","-","Surface Mount","BZ01, 3 Lead","-","1.102"" L x 0.669"" W (28.00mm x 17.00mm)","0.284"" (7.20mm)","-20°C ~ 70°C"
